listing_id,number_of_reviews,review_scores_rating,reviews_per_month
10787333,7,100.0,2.56
13261006,0,94.0,
5970118,4,93.0,0.25
14473053,0,94.0,
4593974,4,95.0,0.51
3343428,14,100.0,1.68
6576530,4,80.0,0.31
12463075,1,94.0,1.0
3888360,24,90.0,3.87
4560053,23,90.0,1.11
14426987,5,100.0,5.0
13653016,2,80.0,1.87
5526514,25,92.0,1.36
1602491,26,83.0,0.74
14472812,0,94.0,
169430,105,91.0,1.71
8420883,6,68.0,0.6
13652639,3,93.0,1.84
5940069,19,90.0,1.13
8228903,83,89.0,7.03
8310807,48,96.0,3.98
9834532,0,94.0,
4460532,78,96.0,3.5
11948017,0,94.0,
4263736,85,98.0,3.65
69369,83,95.0,1.29
13077603,9,98.0,2.45
8735827,31,93.0,2.96
13978700,0,94.0,
8703026,43,87.0,3.82
12504504,0,94.0,
14855404,0,94.0,
658029,65,86.0,1.35
13918656,1,94.0,0.54
6709682,25,86.0,1.66
4615251,0,94.0,
3656168,4,90.0,0.32
7784616,2,90.0,0.16
7618925,1,100.0,0.94
13549924,3,100.0,1.5
8734707,38,98.0,3.52
5146580,58,83.0,3.33
8815738,0,94.0,
13735741,0,94.0,
8495348,3,87.0,0.26
14418787,0,94.0,
7161203,3,93.0,0.34
5146447,45,82.0,2.49
5146451,32,85.0,1.9
1197857,63,88.0,1.61
13797162,6,97.0,3.91
9961767,2,100.0,0.76
163941,138,92.0,2.24
11011124,0,94.0,
12796808,0,94.0,
4555637,40,96.0,1.82
1638584,3,93.0,0.08
9896359,5,92.0,0.66
5885130,9,100.0,0.56
6068207,0,94.0,
11213228,1,94.0,0.16
2301709,42,92.0,1.41
1077105,0,94.0,
1183032,19,93.0,0.5
9765,9,89.0,0.15
9870,6,80.0,0.12
27141,4,84.0,0.06
650956,35,86.0,0.77
1044307,1,94.0,0.03
11856912,3,93.0,0.58
6992859,13,92.0,0.9
3969526,111,94.0,4.59
1166808,29,90.0,0.72
8439661,9,84.0,0.97
5433246,4,95.0,0.68
6793945,27,96.0,1.88
2846739,96,85.0,3.33
6575654,5,96.0,0.32
