listing_id,availability_30,availability_90
8439661,12,65
5433246,0,0
6793945,10,65
2846739,8,62
6575654,0,30
8193344,5,64
6355733,0,0
9862792,11,49
13995573,6,21
7954808,11,30
11687031,16,29
7649517,12,28
8575476,2,42
8902304,12,23
7919500,12,30
7456890,2,8
8987722,4,57
9208166,10,47
7540480,11,63
14918869,30,90
7921131,11,21
8988506,7,22
7634365,8,8
7358714,13,26
2326445,6,46
8518665,13,13
13494185,2,21
10427199,2,34
851927,6,56
12287958,2,11
4461901,13,73
5714786,2,46
13713143,3,16
1277618,7,21
9731479,5,48
1899770,0,0
13707814,0,4
2916208,0,0
8082512,0,35
8403945,0,35
8686165,20,45
4750791,4,25
8846202,3,45
2292495,5,44
13171246,0,0
1489289,0,0
14591627,1,27
12384469,2,2
8206536,0,3
9933886,11,27
7205210,0,2
13318173,0,5
8992733,0,0
5783197,18,74
7796658,0,0
11588543,12,34
1275498,0,0
8025718,0,25
7476340,0,35
4879702,0,0
225224,11,54
7694559,0,51
12253029,0,3
7714627,9,46
12890156,4,49
5074924,7,50
2372987,2,29
7368611,11,48
3601030,4,18
9841645,0,0
14414330,15,75
4860853,0,45
5532549,1,1
8631257,0,0
9663423,0,0
6763409,5,65
3289921,0,29
5976821,0,48
8680170,0,0
11841986,16,52
6287797,0,0
8827268,30,90
5075267,2,52
798957,6,41
11710680,5,26
11686744,13,29
8088370,6,46
4742275,1,37
7645862,10,52
9821291,0,0
9611852,1,42
7294565,0,0
14821911,20,80
8303267,14,69
9728602,3,3
5058148,0,0
6762011,0,51
11873789,24,70
12496332,0,0
585148,0,0
5582163,0,14
5352623,22,82
322593,7,52
6810723,0,35
11902134,0,4
14461998,0,3
10227043,5,28
14709217,0,0
2683284,11,69
11397511,1,40
1252289,6,33
4679319,4,64
8006992,5,46
7513605,8,68
8371115,2,5
13378987,0,0
13477286,0,0
13378936,9,40
11041684,26,86
13378923,4,27
11771810,0,29
6348631,0,0
9840919,0,0
5734770,6,32
8480507,2,16
9430774,0,0
4364925,11,56
12426977,4,4
7511737,3,49
7694365,0,15
12508801,0,8
10083878,3,37
990668,6,59
10427882,10,60
639111,0,28
14933461,3,7
6677700,0,0
8316068,17,77
8381472,0,0
6972426,19,79
6759439,0,0
6038520,0,0
3236496,13,61
8200839,4,22
1106555,30,90
6939126,30,90
14304682,3,39
8595650,3,47
2549840,11,33
5088560,17,55
4364989,0,16
14091605,1,1
6758482,4,64
7856208,0,0
6758443,5,65
6758462,0,35
1810397,3,59
14819274,1,34
7377034,0,4
8201104,0,51
13460331,12,51
14770892,6,61
453660,15,75
14589341,6,45
12049787,3,12
3808557,0,0
1119740,24,82
2513870,0,0
12034317,0,0
3842286,0,0
13377097,3,25
7920541,12,26
2694019,21,81
11590512,7,7
10656576,0,0
5593888,1,43
9706279,0,0
14817983,27,87
7592616,0,0
826555,0,0
7740592,29,89
13605430,0,0
10656206,12,72
14486599,15,72
7095320,0,0
12308161,2,40
9508975,0,0
6248526,0,0
1071144,24,82
989163,8,43
9197535,0,0
22354,6,61
12916551,0,12
7214920,2,13
7755144,13,71
10391455,0,23
5639731,0,45
9574727,0,0
6134013,0,0
14522631,1,16
4461846,0,21
6444303,1,7
824244,0,0
22208,24,82
7575052,0,0
11060140,28,86
14125957,3,16
12587887,22,82
1038465,9,58
12653367,2,2
8753913,0,0
9949819,0,0
2495047,0,35
9853959,0,0
10671192,1,36
9446242,29,89
9474436,19,75
1200502,5,39
9757412,0,0
7508063,0,0
7901248,0,0
14094279,2,12
7114655,0,7
8815257,0,0
2215762,0,34
14372667,0,4
3903273,0,0
12979965,23,27
13078164,3,48
5067019,0,0
5640375,7,50
14405817,0,0
14589471,1,38
13713445,3,15
13078068,4,19
7095658,0,0
8096900,3,32
6426364,4,48
4787233,0,0
7916575,5,65
12094488,17,40
8211468,1,35
1428355,0,8
12290886,2,17
526970,5,53
2395326,2,31
10734159,0,0
8014383,6,14
4609785,0,4
5867761,0,0
5834930,30,90
8309604,0,0
7965521,1,28
1401625,24,84
11470818,29,89
13928400,10,63
11634638,0,0
