id,name,property_id,host_id,neighborhood_id,zipcode,accommodates,bedrooms,minimum_nights,price,availability_30,availability_90
8336364,Beautiful Modern Condo,2,18807764,2,02130,4,2.0,3,$180.00,0,0
12071820,Super Cozy Apt - An Artist's Home,2,64682226,2,02130,2,1.0,1,$70.00,30,57
7910223,"Charming  Apartment, Jamaica Plain",5,30490577,2,02119,2,1.0,2,$150.00,8,61
4567815,Treetop Jamaica Plain home,2,3381838,2,02130,4,2.0,1,$120.00,0,5
12022134,Private room in great JP location!,2,19342870,2,02130,2,1.0,14,$92.00,0,6
13513012,"T'BEST: Priv. Bath, Deck; Subway, Parking Option",2,32784275,2,02130,2,1.0,3,$84.00,9,9
3730447,Parkside Apartment- Cozy and Roomy!,2,9329890,2,02130,4,2.0,2,$200.00,0,0
4149974,Centered on Centre ,2,8498315,2,02130,2,1.0,2,$115.00,8,47
14933380,"Sofa bed in cozy, clean apartment",2,28193547,2,02130,1,1.0,1,$49.00,25,81
6238463,Pvt tree top room in great location,6,31691830,2,02130,2,1.0,2,$95.00,12,35
1929406,Family-Friendly Victorian Townhouse,1,9991368,2,02130,6,4.0,3,$275.00,0,4
4583526,Lovely private 4 bedroom apt,2,23759488,2,02130,9,4.0,2,$230.00,9,53
7287822,Light and airy separate apartment in funky JP,2,17844905,2,02130,4,1.0,2,$130.00,6,39
8354938,2 bedroom Jamaica Plain Egleston Square w/ parking,2,206353,2,02119,5,2.0,3,$192.00,6,53
5025015,Beautiful Apartment in Boston!,2,25932315,2,02130,5,3.0,2,$175.00,7,45
4452800,Small Cozy Room in Beautiful Place,2,9329890,2,02130,2,1.0,1,$70.00,30,90
7554801,Cozy guest room. Awesome location!,6,14840087,2,02130,2,1.0,5,$65.00,2,21
9349646,Family-friendly private room,2,3900945,2,02130,2,1.0,1,$100.00,0,0
6386351,Charming Arboretum Area 1+ Bed/1 Ba,2,33289576,2,02130,3,1.0,1,$185.00,0,0
5124772,Beautiful Victorian on Quiet Street,1,1450086,2,02119,10,5.0,5,$250.00,0,4
3977877,Full One-Bedroom in Jamaica Plain,2,14993032,2,02130,2,1.0,1,$110.00,0,0
1754939,Gorgeous townhouse in Boston,1,9228417,2,02130,5,2.0,1,$150.00,1,12
6602167,TWO BEDROOM APARTMENT,2,24584716,2,02130,6,2.0,2,$168.00,5,34
3987926,Rustic Room/Free Transit/By Subway,2,1480518,2,02131,2,1.0,1,$60.00,16,69
5729845,"Cozy guest room, great location!",2,29709417,2,02130,2,1.0,1,$59.00,11,71
9727523,One private room in Jamaica Plain,1,50199143,2,02130,2,1.0,1,$60.00,5,53
12463555,"Family friendly, great location",2,67325902,2,02130,4,2.0,2,$145.00,0,0
9137560,Cozy & Private Room close to city,2,47588894,2,02130,2,1.0,1,$80.00,0,0
3616081,Jamaica Plain's Urban Oasis,2,18190121,2,02130,3,1.0,2,$114.00,13,59
8908145,"Gracious, stunning, with fireplace",1,45402419,2,02130,2,1.0,2,$170.00,29,89
554720,Boston Charm - Condo,2,2727109,2,02130,6,2.0,3,$240.00,7,41
1551467,Elegant Quiet Family-Friendly 2BR,2,1106261,2,02130,4,2.0,2,$150.00,0,0
7743569,Cozy guest room. Awesome location!,2,4595799,2,02130,2,1.0,3,$69.00,0,15
732932,"Sunny Home in Jamaica Plain, Boston",2,3817361,2,02130,2,1.0,3,$80.00,13,27
749247,Beautiful Boston Room-Sunny!,2,3920014,2,02130,2,1.0,1,$85.00,16,74
